source,Pubchem_CID,Melting_Point,reference,Substance_CASRN,SMILES,ConnectivitySMILES,InChI,InChIKey,IUPAC_Name
Pubchem,248,301 °C,"
            ",6640-00-2,C[N+](C)(C)CC(=O)O,C[N+](C)(C)CC(=O)O,"InChI=1S/C5H11NO2/c1-6(2,3)4-5(7)8/h4H2,1-3H3/p+1",KWIUHFFTVRNATP-UHFFFAOYSA-O,carboxymethyl(trimethyl)azanium
Pubchem,259,-7.25 °C,"
            ",24959-67-9,[Br-],[Br-],InChI=1S/BrH/h1H/p-1,CPELXLSAUQHCOX-UHFFFAOYSA-M,bromide
Pubchem,260,-124 °F,"
            ",10035-10-6,Br,Br,InChI=1S/BrH/h1H,CPELXLSAUQHCOX-UHFFFAOYSA-N,bromane
Pubchem,261,-146 °F,"
            ",123-72-8,CCCC=O,CCCC=O,"InChI=1S/C4H8O/c1-2-3-4-5/h4H,2-3H2,1H3",ZTQSAGDEMFDKMZ-UHFFFAOYSA-N,butanal
Pubchem,262,19 °C,"
            ",513-85-9,CC(C(C)O)O,CC(C(C)O)O,"InChI=1S/C4H10O2/c1-3(5)4(2)6/h3-6H,1-2H3",OWBTYPJTUOEWEK-UHFFFAOYSA-N,"butane-2,3-diol"
Pubchem,263,-129 °F,"
            ",71-36-3,CCCCO,CCCCO,"InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",LRHPLDYGYMQRHN-UHFFFAOYSA-N,butan-1-ol
Pubchem,264,17.8 °F,"
            ",107-92-6,CCCC(=O)O,CCCC(=O)O,"InChI=1S/C4H8O2/c1-2-3-4(5)6/h2-3H2,1H3,(H,5,6)",FERIUCNNQQJTOY-UHFFFAOYSA-N,butanoic acid
Pubchem,271,850 °C,"
            ",14127-61-8,[Ca+2],[Ca+2],InChI=1S/Ca/q+2,BHPQYMZQTOCNFJ-UHFFFAOYSA-N,calcium(2+)
Pubchem,273,11.83 °C,"
            ",462-94-2,C(CCN)CCN,C(CCN)CCN,InChI=1S/C5H14N2/c6-4-2-1-3-5-7/h1-7H2,VHRGRCVQAFMJIZ-UHFFFAOYSA-N,"pentane-1,5-diamine"
Pubchem,280,-109.3 °F,"
            ",124-38-9,C(=O)=O,C(=O)=O,InChI=1S/CO2/c2-1-3,CURLTUGMZLYLDI-UHFFFAOYSA-N,carbon dioxide
Pubchem,281,-326 °F,"
            ",630-08-0,[C-]#[O+],[C-]#[O+],InChI=1S/CO/c1-2,UGFAIRIUMAVXCW-UHFFFAOYSA-N,carbon monoxide
Pubchem,284,47.1 °F,"
            ",64-18-6,C(=O)O,C(=O)O,"InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3)",BDAGIHXWWSANSR-UHFFFAOYSA-N,formic acid
Pubchem,289,221 °F,"
            ",120-80-9,C1=CC=C(C(=C1)O)O,C1=CC=C(C(=C1)O)O,"InChI=1S/C6H6O2/c7-5-3-1-2-4-6(5)8/h1-4,7-8H",YCIMNLLNPGFGHC-UHFFFAOYSA-N,"benzene-1,2-diol"
Pubchem,297,-296 °F,"
            ",74-82-8,C,C,InChI=1S/CH4/h1H4,VNWKTOKETHGBQD-UHFFFAOYSA-N,methane
Pubchem,299,662 °F,"
            ",143-50-0,C1(=O)C2(C3(C4(C1(C5(C2(C3(C(C45Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl,C1(=O)C2(C3(C4(C1(C5(C2(C3(C(C45Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl,"InChI=1S/C10Cl10O/c11-2-1(21)3(12)6(15)4(2,13)8(17)5(2,14)7(3,16)9(6,18)10(8,19)20",LHHGDZSESBACKH-UHFFFAOYSA-N,"1,2,3,4,6,7,8,9,10,10-decachloropentacyclo[5.3.0.02,6.03,9.04,8]decan-5-one"
Pubchem,300,145 °F,"
            ",79-11-8,C(C(=O)O)Cl,C(C(=O)O)Cl,"InChI=1S/C2H3ClO2/c3-1-2(4)5/h1H2,(H,4,5)",FOCAUTSVDIKZOP-UHFFFAOYSA-N,2-chloroacetic acid
Pubchem,301,100 °C,"
            ",615-67-8,C1=CC(=C(C=C1O)Cl)O,C1=CC(=C(C=C1O)Cl)O,"InChI=1S/C6H5ClO2/c7-5-3-4(8)1-2-6(5)9/h1-3,8-9H",AJPXTSMULZANCB-UHFFFAOYSA-N,"2-chlorobenzene-1,4-diol"
Pubchem,305,-247 °C,"
            ",62-49-7,C[N+](C)(C)CCO,C[N+](C)(C)CCO,"InChI=1S/C5H14NO/c1-6(2,3)4-5-7/h7H,4-5H2,1-3H3/q+1",OEYIOHPDSNJKLS-UHFFFAOYSA-N,2-hydroxyethyl(trimethyl)azanium
Pubchem,308,33 °C,"
            ",,C1=CC=C(C=C1)C=CCO,C1=CC=C(C=C1)C=CCO,"InChI=1S/C9H10O/c10-8-4-7-9-5-2-1-3-6-9/h1-7,10H,8H2",OOCCDEMITAIZTP-UHFFFAOYSA-N,3-phenylprop-2-en-1-ol
Pubchem,309,-195 °C,"
            ",499-12-7,C(C(=CC(=O)O)C(=O)O)C(=O)O,C(C(=CC(=O)O)C(=O)O)C(=O)O,"InChI=1S/C6H6O6/c7-4(8)1-3(6(11)12)2-5(9)10/h1H,2H2,(H,7,8)(H,9,10)(H,11,12)",GTZCVFVGUGFEME-UHFFFAOYSA-N,"prop-1-ene-1,2,3-tricarboxylic acid"
Pubchem,311,307 °F,"
            ",77-92-9,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,"InChI=1S/C6H8O7/c7-3(8)1-6(13,5(11)12)2-4(9)10/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12)",KRKNYBCHXYNGOX-UHFFFAOYSA-N,"2-hydroxypropane-1,2,3-tricarboxylic acid"
Pubchem,312,-101 °C,"
            ",16887-00-6,[Cl-],[Cl-],InChI=1S/ClH/h1H/p-1,VEXZGXHMUGYJMC-UHFFFAOYSA-M,chloride
Pubchem,313,-174.6 °F,"
            ",7647-01-0,Cl,Cl,InChI=1S/ClH/h1H,VEXZGXHMUGYJMC-UHFFFAOYSA-N,chlorane
Pubchem,323,158 °F,"
            ",91-64-5,C1=CC=C2C(=C1)C=CC(=O)O2,C1=CC=C2C(=C1)C=CC(=O)O2,InChI=1S/C9H6O2/c10-9-6-5-7-3-1-2-4-8(7)11-9/h1-6H,ZYGHJZDHTFUPRJ-UHFFFAOYSA-N,chromen-2-one
Pubchem,325,28 °C,"
            ",536-60-7,CC(C)C1=CC=C(C=C1)CO,CC(C)C1=CC=C(C=C1)CO,"InChI=1S/C10H14O/c1-8(2)10-5-3-9(7-11)4-6-10/h3-6,8,11H,7H2,1-2H3",OIGWAXDAPKFNCQ-UHFFFAOYSA-N,(4-propan-2-ylphenyl)methanol
Pubchem,328,106 °C,"
            ",1198-84-1,C1=CC(=CC=C1C(C(=O)O)O)O,C1=CC(=CC=C1C(C(=O)O)O)O,"InChI=1S/C8H8O4/c9-6-3-1-5(2-4-6)7(10)8(11)12/h1-4,7,9-10H,(H,11,12)",YHXHKYRQLYQUIH-UHFFFAOYSA-N,2-hydroxy-2-(4-hydroxyphenyl)acetic acid
Pubchem,335,88 °F,"
            ",95-48-7,CC1=CC=CC=C1O,CC1=CC=CC=C1O,"InChI=1S/C7H8O/c1-6-4-2-3-5-7(6)8/h2-5,8H,1H3",QWVGKYWNOKOFNN-UHFFFAOYSA-N,2-methylphenol
